ID;CustomerName;Phone;CarModel;VehiclePlate;ServiceType;Amount;PaymentMethod;Status;ServiceDate;CompletedAt;HandledBy
a1b2c3d4-1111-4000-8000-000000000001;Rajat Patel;9876543210;Honda City;GJ 01 AB 1234;Full Wash, Interior Cleaning;750.00;Online;Completed;2025-05-01;2025-05-01;admin
a1b2c3d4-1111-4000-8000-000000000002;Priya Sharma;9876543211;Hyundai Creta;GJ 05 XY 9876;Ceramic Coating;2200.00;UPI;Completed;2025-05-02;2025-05-02;admin
a1b2c3d4-1111-4000-8000-000000000003;Bob Brown;9876543212;Maruti Swift;GJ 06 ZM 4567;Full Wash;400.00;Cash;Completed;2025-05-02;2025-05-02;staff
a1b2c3d4-1111-4000-8000-000000000004;Amit Verma;9123456780;Toyota Fortuner;MH 12 CD 3456;Full Wash, Polymer Coating;1300.00;Card;Completed;2025-05-03;2025-05-03;admin
a1b2c3d4-1111-4000-8000-000000000005;Sneha Reddy;9988776655;Kia Seltos;KA 01 EF 7890;Half Wash;150.00;UPI;Completed;2025-05-03;2025-05-03;staff
a1b2c3d4-1111-4000-8000-000000000006;Vikram Singh;9112233445;Tata Nexon;DL 04 GH 2345;Full Interior Cleaning;350.00;Online;Completed;2025-05-04;2025-05-04;admin
a1b2c3d4-1111-4000-8000-000000000007;Meera Joshi;9001122334;Mahindra XUV700;MH 02 IJ 6789;Premium Detailing, Teflon Paint Protection;2600.00;Card;Completed;2025-05-05;2025-05-05;admin
a1b2c3d4-1111-4000-8000-000000000008;Rahul Gupta;9334455667;Honda Amaze;GJ 03 KL 1122;Water Wash;200.00;Cash;Completed;2025-05-05;2025-05-06;staff
a1b2c3d4-1111-4000-8000-000000000009;Anita Desai;9445566778;Hyundai i20;GJ 01 MN 3344;Full Wash, Seat Cleaning;600.00;UPI;Completed;2025-05-06;2025-05-06;staff
a1b2c3d4-1111-4000-8000-000000000010;Karan Mehta;9556677889;BMW 3 Series;MH 01 OP 5566;Ceramic Coating, Glass Coating;2900.00;Card;Completed;2025-05-07;2025-05-07;admin
a1b2c3d4-1111-4000-8000-000000000011;Deepa Nair;9667788990;Maruti Baleno;KA 05 QR 7788;Full Wash;400.00;Online;Completed;2025-05-08;2025-05-08;staff
a1b2c3d4-1111-4000-8000-000000000012;Suresh Kumar;9778899001;Tata Harrier;TN 09 ST 9900;Washing & Gressing, Under Body Protection;1300.00;UPI;Completed;2025-05-09;2025-05-09;admin
a1b2c3d4-1111-4000-8000-000000000013;Pooja Iyer;9889900112;Toyota Innova;KA 01 UV 1122;Full Wash, Fabric Cleaning;650.00;Cash;Completed;2025-05-10;2025-05-10;staff
a1b2c3d4-1111-4000-8000-000000000014;Nikhil Jain;9990011223;Volkswagen Polo;GJ 05 WX 3344;Cutting Polish;750.00;Online;Completed;2025-05-11;2025-05-11;admin
a1b2c3d4-1111-4000-8000-000000000015;Ritu Agarwal;9101122334;Skoda Kushaq;MH 04 YZ 5566;Full Wash, Synthetic Coating;1500.00;Card;Completed;2025-05-12;2025-05-12;admin
a1b2c3d4-1111-4000-8000-000000000016;Arjun Rao;9212233445;Honda City;GJ 01 AB 7788;Full Wash;400.00;UPI;Completed;2025-05-13;2025-05-13;staff
a1b2c3d4-1111-4000-8000-000000000017;Kavita Pillai;9323344556;Hyundai Venue;KA 03 CD 9900;Half Wash, Top-Floor Cleaning;330.00;Cash;Completed;2025-05-14;2025-05-14;staff
a1b2c3d4-1111-4000-8000-000000000018;Manish Tiwari;9434455667;Mahindra Thar;MP 09 EF 1122;Full Wash, Polymer Coating;1300.00;Online;Completed;2025-05-15;2025-05-15;admin
